usage_id,customer_id,month,data_used_gb,calls_minutes,texts_sent,revenue
U0000073,VZ000042,2024-01,55.45,998,1641,40
U0000074,VZ000335,2024-01,29.74,457,3736,40
U0000075,VZ000173,2024-01,20.2,1628,598,40
U0000076,VZ000440,2024-01,59.0,243,844,45
U0000077,VZ000482,2024-01,59.04,1428,4445,45
U0000078,VZ000041,2024-01,5.5,1849,1520,55
U0000079,VZ000418,2024-01,7.65,354,4771,70
U0000080,VZ000019,2024-01,51.0,1094,3536,45
U0000081,VZ000161,2024-01,11.7,140,1096,40
U0000082,VZ000166,2024-01,4.62,1078,2940,55
U0000083,VZ000433,2024-01,9.31,482,3351,40
U0000084,VZ000049,2024-01,40.3,541,2037,55
U0000085,VZ000194,2024-01,21.91,565,1189,55
U0000086,VZ000105,2024-01,9.65,1758,2570,40
U0000087,VZ000077,2024-01,49.55,536,1323,40
U0000088,VZ000247,2024-01,10.09,722,930,55
U0000089,VZ000009,2024-01,6.04,1815,1313,45
U0000090,VZ000159,2024-01,1.71,1394,3374,55
U0000091,VZ000004,2024-01,25.95,1715,1203,45
U0000092,VZ000101,2024-01,11.51,166,2768,45
U0000093,VZ000341,2024-01,48.86,1368,3563,55
U0000094,VZ000184,2024-01,9.46,1375,1468,45
U0000095,VZ000457,2024-01,13.92,1840,2768,45
U0000096,VZ000025,2024-01,35.01,293,1653,55
U0000097,VZ000181,2024-01,19.57,1221,1540,45
U0000098,VZ000156,2024-01,59.86,343,2625,45
U0000099,VZ000201,2024-01,25.77,1669,2019,40
U0000100,VZ000426,2024-01,23.46,869,3696,70
U0000101,VZ000387,2024-01,23.56,178,4444,70
U0000102,VZ000230,2024-01,9.92,1647,3373,70
U0000103,VZ000403,2024-01,59.86,603,4244,70
U0000104,VZ000424,2024-01,4.51,305,2611,40
U0000105,VZ000291,2024-01,1.36,922,4041,55
U0000106,VZ000358,2024-01,36.23,507,509,40
U0000107,VZ000495,2024-01,21.45,1201,4243,55
U0000108,VZ000007,2024-01,47.61,1496,3119,70
U0000109,VZ000246,2024-01,1.99,542,2184,40
U0000110,VZ000491,2024-01,41.63,571,2476,55
U0000111,VZ000411,2024-01,55.08,1927,1011,40
U0000112,VZ000193,2024-01,47.9,1904,3794,45
U0000113,VZ000310,2024-01,52.11,319,2055,40
U0000114,VZ000063,2024-01,51.25,180,1715,40
U0000115,VZ000363,2024-01,39.61,677,4877,55
U0000116,VZ000255,2024-01,49.12,919,1811,55
U0000117,VZ000350,2024-01,20.99,629,4552,70
U0000118,VZ000052,2024-01,57.84,286,1789,45
U0000119,VZ000400,2024-01,21.78,1620,4890,70
U0000120,VZ000013,2024-01,10.14,374,4665,45
U0000121,VZ000175,2024-01,43.42,835,879,70
U0000122,VZ000226,2024-01,36.28,1677,4116,40
U0000123,VZ000271,2024-01,54.75,885,633,40
U0000124,VZ000442,2024-01,15.27,279,2467,45
U0000125,VZ000263,2024-01,5.82,1954,4317,55
U0000126,VZ000336,2024-01,52.51,1645,4186,45
U0000127,VZ000327,2024-01,32.41,298,4862,45
U0000128,VZ000430,2024-01,59.36,1943,4597,55
U0000129,VZ000178,2024-01,1.93,747,2213,40
U0000130,VZ000340,2024-01,46.47,637,3353,45
U0000131,VZ000389,2024-01,23.38,1319,621,70
U0000132,VZ000276,2024-01,56.12,1628,1590,40
U0000133,VZ000395,2024-01,1.1,275,4253,45
U0000134,VZ000232,2024-01,21.27,876,1129,70
U0000135,VZ000277,2024-01,57.83,1996,1910,40
U0000136,VZ000074,2024-01,44.17,1197,1987,45
U0000137,VZ000361,2024-01,31.35,831,2853,70
U0000138,VZ000294,2024-01,12.53,1594,3581,40
U0000139,VZ000402,2024-01,49.92,1478,834,55
U0000140,VZ000051,2024-01,5.78,725,1216,55
U0000141,VZ000365,2024-01,14.23,1072,3280,45
U0000142,VZ000248,2024-01,58.09,205,1137,40
U0000143,VZ000333,2024-01,5.38,841,2016,70
U0000144,VZ000070,2024-01,2.7,1852,4437,40
U0000145,VZ000115,2024-01,3.43,1281,2964,55
U0000146,VZ000308,2024-01,9.37,1864,2389,45
U0000147,VZ000298,2024-01,36.44,1284,3277,55
U0000148,VZ000392,2024-01,19.61,979,3052,45
U0000149,VZ000180,2024-01,24.27,1072,4224,70
U0000150,VZ000233,2024-01,57.66,1536,3379,45
U0000151,VZ000390,2024-01,41.47,1961,1430,40
U0000152,VZ000307,2024-01,39.47,170,2063,45
U0000153,VZ000401,2024-01,55.83,1993,2961,70
U0000154,VZ000473,2024-01,5.55,1262,2608,55
U0000155,VZ000032,2024-01,3.51,1207,1175,55
U0000156,VZ000364,2024-01,53.4,974,4259,45
U0000157,VZ000072,2024-01,17.42,1486,687,45
U0000158,VZ000434,2024-01,4.88,1853,1116,70
U0000159,VZ000460,2024-01,24.62,847,1635,40
U0000160,VZ000229,2024-01,58.38,320,4664,45
U0000161,VZ000210,2024-01,35.15,1239,1596,45
U0000162,VZ000297,2024-01,9.22,1738,1087,70
U0000163,VZ000296,2024-01,59.8,985,3508,55
U0000164,VZ000078,2024-01,33.95,1521,2965,55
U0000165,VZ000299,2024-01,27.39,761,1732,45
U0000166,VZ000360,2024-01,23.92,1076,2872,70
U0000167,VZ000108,2024-01,33.9,323,1450,70
U0000168,VZ000076,2024-01,38.41,826,3817,45
U0000169,VZ000284,2024-01,40.83,660,4264,40
U0000170,VZ000058,2024-01,37.94,298,2826,40
U0000171,VZ000024,2024-01,26.77,1067,4644,40
U0000172,VZ000441,2024-01,10.07,1376,2358,55
U0000173,VZ000012,2024-01,26.52,1051,4079,70
U0000174,VZ000355,2024-01,54.76,425,2297,40
U0000175,VZ000268,2024-01,17.46,1743,3612,45
U0000176,VZ000127,2024-01,50.77,307,2005,45
U0000177,VZ000217,2024-01,10.68,975,1185,45
U0000178,VZ000485,2024-01,48.34,286,2390,45
U0000179,VZ000419,2024-01,38.14,1936,3635,40
U0000180,VZ000497,2024-01,28.61,236,873,45
U0000181,VZ000146,2024-01,52.67,453,3739,40
U0000182,VZ000459,2024-01,55.66,1484,3681,70
U0000183,VZ000017,2024-01,51.78,1044,4936,70
U0000184,VZ000241,2024-01,40.58,160,1540,40
U0000185,VZ000465,2024-01,29.5,1462,640,45
U0000186,VZ000250,2024-01,38.97,539,3496,40
U0000187,VZ000353,2024-01,18.19,1201,948,55
U0000188,VZ000374,2024-01,5.37,667,4190,70
U0000189,VZ000396,2024-01,41.74,1999,1410,45
U0000190,VZ000081,2024-01,52.5,1157,901,45
U0000191,VZ000069,2024-01,51.06,820,2232,45
U0000192,VZ000407,2024-01,46.31,451,2499,55
U0000193,VZ000222,2024-01,51.5,318,4092,70
U0000194,VZ000191,2024-01,26.87,160,4413,55
U0000195,VZ000228,2024-01,27.57,920,3613,55
U0000196,VZ000466,2024-01,53.75,418,3272,70
U0000197,VZ000245,2024-01,44.3,648,2484,45
U0000198,VZ000167,2024-01,33.4,519,4858,55
U0000199,VZ000035,2024-01,31.27,384,832,55
U0000200,VZ000026,2024-01,46.27,614,970,40
U0000201,VZ000329,2024-01,19.85,520,4427,40
U0000202,VZ000224,2024-01,56.72,1812,1683,55
U0000203,VZ000266,2024-01,23.61,1658,1236,55
U0000204,VZ000443,2024-01,27.17,788,2769,40
U0000205,VZ000117,2024-01,33.07,1206,2893,70
U0000206,VZ000148,2024-01,52.84,1524,4142,45
U0000207,VZ000130,2024-01,14.23,1993,2849,70
U0000208,VZ000129,2024-01,53.28,1683,1472,45
U0000209,VZ000436,2024-01,59.46,685,1718,45
U0000210,VZ000021,2024-01,18.85,1458,3604,70
U0000211,VZ000219,2024-01,23.11,825,1658,45
U0000212,VZ000293,2024-01,14.9,263,4077,55
U0000213,VZ000415,2024-01,41.29,1514,3675,45
U0000214,VZ000469,2024-01,14.69,878,4669,40
U0000215,VZ000128,2024-01,40.9,1891,2090,45
U0000216,VZ000023,2024-01,58.09,1814,3520,40
U0000217,VZ000015,2024-01,21.5,459,521,40
U0000218,VZ000288,2024-01,47.37,1827,2092,45
U0000219,VZ000372,2024-01,42.43,353,1244,70
U0000220,VZ000118,2024-01,45.31,1020,4921,40
U0000221,VZ000370,2024-01,24.0,828,3130,55
U0000222,VZ000110,2024-01,17.69,1939,1892,70
U0000223,VZ000354,2024-01,20.66,297,3984,45
U0000224,VZ000154,2024-01,23.92,763,4200,40
U0000225,VZ000438,2024-01,56.82,815,4639,40
U0000226,VZ000362,2024-01,36.16,102,2272,45
U0000227,VZ000002,2024-01,45.05,943,1452,40
U0000228,VZ000182,2024-01,50.66,988,1672,40
U0000229,VZ000475,2024-01,29.46,520,3249,40
U0000230,VZ000141,2024-01,20.06,435,4046,45
U0000231,VZ000282,2024-01,22.49,1281,2371,55
U0000232,VZ000397,2024-01,43.96,1367,2766,45
U0000233,VZ000045,2024-01,53.86,428,1011,45
U0000234,VZ000273,2024-01,21.26,1981,4965,70
U0000235,VZ000484,2024-01,16.05,1344,1006,40
U0000236,VZ000432,2024-01,12.12,1258,724,70
U0000237,VZ000423,2024-01,59.64,1822,1749,40
U0000238,VZ000283,2024-01,28.18,1914,2858,55
U0000239,VZ000212,2024-01,13.85,806,512,40
U0000240,VZ000234,2024-01,22.41,1048,3314,55
U0000241,VZ000237,2024-01,11.09,149,4449,40
U0000242,VZ000253,2024-01,16.94,1416,770,40
U0000243,VZ000029,2024-01,42.34,123,566,55
U0000244,VZ000163,2024-01,52.61,1314,1444,45
U0000245,VZ000171,2024-01,9.59,1660,4587,45
U0000246,VZ000490,2024-01,6.45,1344,960,45
U0000247,VZ000382,2024-01,39.92,1255,3634,40
U0000248,VZ000027,2024-01,39.82,1315,1140,55
U0000249,VZ000071,2024-01,4.75,1590,4328,40
U0000250,VZ000258,2024-01,21.15,1667,758,40
U0000251,VZ000223,2024-01,50.48,1050,2025,55
U0000252,VZ000267,2024-01,3.5,840,4386,40
U0000253,VZ000098,2024-01,27.66,1109,1238,70
U0000254,VZ000244,2024-01,42.13,827,4537,45
U0000255,VZ000169,2024-01,1.0,1066,1149,55
U0000256,VZ000456,2024-01,50.02,680,4926,55
U0000257,VZ000272,2024-01,1.07,395,3558,45
U0000258,VZ000269,2024-01,13.4,1093,4592,70
U0000259,VZ000373,2024-01,18.66,752,3988,45
U0000260,VZ000334,2024-01,25.8,149,981,45
U0000261,VZ000453,2024-01,37.88,1631,3933,70
U0000262,VZ000164,2024-01,52.65,1742,636,55
U0000263,VZ000379,2024-01,19.19,229,2439,55
U0000264,VZ000351,2024-01,32.71,1907,4252,55
U0000265,VZ000249,2024-01,37.84,1625,4912,55
U0000266,VZ000134,2024-01,57.54,1198,4320,55
U0000267,VZ000079,2024-01,30.45,1549,4742,70
U0000268,VZ000121,2024-01,50.47,1231,2312,45
U0000269,VZ000449,2024-01,27.88,908,3083,45
U0000270,VZ000125,2024-01,13.06,720,996,45
U0000271,VZ000211,2024-01,56.61,662,3846,40
U0000272,VZ000315,2024-01,35.17,613,1234,45
U0000273,VZ000404,2024-01,28.25,393,4930,70
U0000274,VZ000087,2024-01,53.12,106,2222,55
U0000275,VZ000140,2024-01,27.26,561,3884,45
U0000276,VZ000320,2024-01,24.24,1488,4217,40
U0000277,VZ000132,2024-01,31.09,854,2671,40
U0000278,VZ000352,2024-01,24.42,247,4803,45
U0000279,VZ000421,2024-01,9.1,705,3261,40
U0000280,VZ000179,2024-01,5.93,1463,1814,70
U0000281,VZ000345,2024-01,59.02,397,2252,55
U0000282,VZ000103,2024-01,19.53,1285,4190,40
U0000283,VZ000082,2024-01,46.79,711,2164,40
U0000284,VZ000034,2024-01,37.33,1360,2097,70
U0000285,VZ000138,2024-01,51.45,562,3003,45
U0000286,VZ000493,2024-01,32.25,1080,2116,70
U0000287,VZ000085,2024-01,28.36,250,4048,55
U0000288,VZ000359,2024-01,34.49,1902,2619,40
U0000289,VZ000097,2024-01,53.6,765,767,40
U0000290,VZ000195,2024-01,36.6,226,1581,40
U0000291,VZ000348,2024-01,19.87,156,1678,45
U0000292,VZ000218,2024-01,13.76,1301,2283,70
U0000293,VZ000044,2024-01,21.49,1762,2267,55
U0000294,VZ000122,2024-01,5.52,814,1697,55
U0000295,VZ000030,2024-01,31.52,1730,3513,55
U0000296,VZ000305,2024-01,5.75,738,934,70
U0000297,VZ000090,2024-01,41.13,812,4133,70
U0000298,VZ000326,2024-01,22.04,467,1970,40
U0000299,VZ000371,2024-01,34.37,1808,4910,40
U0000300,VZ000094,2024-01,10.98,355,1408,70
U0000301,VZ000207,2024-01,24.62,559,3972,45
U0000302,VZ000410,2024-01,22.29,1894,660,55
U0000303,VZ000378,2024-01,15.13,341,2802,40
U0000304,VZ000119,2024-01,4.48,680,2965,70
U0000305,VZ000088,2024-01,9.89,1055,2702,70
U0000306,VZ000422,2024-01,33.63,1716,3146,55
U0000307,VZ000275,2024-01,34.63,1436,4461,40
U0000308,VZ000303,2024-01,10.86,593,4918,45
U0000309,VZ000304,2024-01,41.0,270,2728,70
U0000310,VZ000451,2024-01,19.25,1339,3067,45
U0000311,VZ000157,2024-01,38.19,659,4662,45
U0000312,VZ000198,2024-01,58.88,834,3308,70
U0000313,VZ000008,2024-01,52.95,904,2897,70
U0000314,VZ000398,2024-01,30.11,1322,2271,45
U0000315,VZ000316,2024-01,31.16,1430,3302,55
U0000316,VZ000176,2024-01,20.17,1513,2129,45
U0000317,VZ000409,2024-01,50.35,1581,3242,70
U0000318,VZ000499,2024-01,6.57,106,3021,70
U0000319,VZ000385,2024-01,50.29,1841,2377,70
U0000320,VZ000054,2024-01,15.17,1044,4640,70
U0000321,VZ000450,2024-01,11.71,1540,2268,45
U0000322,VZ000412,2024-01,20.43,1360,1894,40
U0000323,VZ000292,2024-01,41.97,1234,2667,45
U0000324,VZ000174,2024-01,34.08,1212,3553,70
U0000325,VZ000339,2024-01,10.11,1087,3489,70
U0000326,VZ000368,2024-01,40.42,934,1759,45
U0000327,VZ000280,2024-01,50.65,1191,4114,55
U0000328,VZ000331,2024-01,50.77,1949,3355,45
U0000329,VZ000213,2024-01,39.71,1793,3009,55
U0000330,VZ000099,2024-01,20.39,1720,4519,45
U0000331,VZ000240,2024-01,56.28,419,3553,55
U0000332,VZ000300,2024-01,43.95,1888,3973,70
U0000333,VZ000455,2024-01,11.3,930,2435,45
U0000334,VZ000328,2024-01,48.89,345,2427,55
U0000335,VZ000100,2024-01,51.67,494,4274,55
U0000336,VZ000093,2024-01,24.3,190,2372,40
U0000337,VZ000386,2024-01,54.29,575,514,45
U0000338,VZ000287,2024-01,22.53,1754,1218,40
U0000339,VZ000057,2024-01,5.77,1757,1885,45
U0000340,VZ000083,2024-01,26.9,104,1456,55
U0000341,VZ000189,2024-01,18.75,1935,4294,55
U0000342,VZ000391,2024-01,59.84,1256,2816,70
U0000343,VZ000347,2024-01,42.01,1561,884,70
U0000344,VZ000014,2024-01,56.73,153,4579,45
U0000345,VZ000095,2024-01,52.17,343,2039,55
U0000346,VZ000068,2024-01,16.05,1813,2781,40
U0000347,VZ000162,2024-01,30.29,253,3818,70
U0000348,VZ000136,2024-01,25.41,1472,4774,45
U0000349,VZ000080,2024-01,43.84,508,2844,70
U0000350,VZ000150,2024-01,46.19,405,4650,70
U0000351,VZ000318,2024-01,37.33,869,3495,45
U0000352,VZ000313,2024-01,2.38,310,3807,70
U0000353,VZ000369,2024-01,33.02,207,3695,55
U0000354,VZ000147,2024-01,35.53,1461,3651,70
U0000355,VZ000067,2024-01,34.71,157,3509,40
U0000356,VZ000302,2024-01,16.9,202,4554,40
U0000357,VZ000005,2024-01,25.24,1972,3748,55
U0000358,VZ000172,2024-01,20.3,157,1528,45
U0000359,VZ000437,2024-01,50.49,1309,3918,45
U0000360,VZ000040,2024-01,51.79,712,3054,70
U0000361,VZ000039,2024-01,17.38,1499,4934,70
U0000362,VZ000152,2024-01,31.93,1412,548,45
U0000363,VZ000060,2024-01,18.28,1981,3185,45
U0000364,VZ000142,2024-01,35.78,366,2138,45
U0000365,VZ000259,2024-01,9.83,1767,4110,55
U0000366,VZ000414,2024-01,21.27,1660,3332,40
U0000367,VZ000183,2024-01,45.42,1567,4018,70
U0000368,VZ000238,2024-01,38.1,427,4317,45
U0000369,VZ000445,2024-01,8.6,1142,4961,55
U0000370,VZ000033,2024-01,59.15,169,1470,55
U0000371,VZ000458,2024-01,11.14,234,3284,45
U0000372,VZ000153,2024-01,16.15,579,2637,55
U0000373,VZ000220,2024-01,31.66,885,2543,70
U0000374,VZ000205,2024-01,7.71,917,4889,70
U0000375,VZ000204,2024-01,26.45,1181,1386,70
U0000376,VZ000225,2024-01,20.73,598,1257,70
U0000377,VZ000478,2024-01,41.13,1588,3431,45
U0000378,VZ000151,2024-01,20.87,1786,1687,40
U0000379,VZ000324,2024-01,38.26,1755,2425,70
U0000380,VZ000446,2024-01,11.13,1333,1842,55
U0000381,VZ000427,2024-01,42.85,1345,1568,55
U0000382,VZ000454,2024-01,26.19,1287,2142,40
U0000383,VZ000285,2024-01,24.17,833,1457,55
U0000384,VZ000046,2024-01,9.19,252,1524,40
U0000385,VZ000018,2024-01,35.94,1870,1577,40
U0000386,VZ000264,2024-01,33.12,1242,1516,40
U0000387,VZ000472,2024-01,16.07,708,1766,40
U0000388,VZ000380,2024-01,9.93,1991,2070,70
U0000389,VZ000185,2024-01,6.9,1157,1734,45
U0000390,VZ000486,2024-01,29.44,765,859,55
U0000391,VZ000346,2024-01,15.74,1618,1713,40
U0000392,VZ000011,2024-01,53.42,1882,4928,55
U0000393,VZ000104,2024-01,7.86,1697,1218,55
U0000394,VZ000476,2024-01,15.29,1621,3739,55
U0000395,VZ000417,2024-01,5.66,1425,3784,70
U0000396,VZ000102,2024-01,48.22,1788,4554,70
U0000397,VZ000089,2024-01,55.72,1859,1677,70
U0000398,VZ000312,2024-01,54.03,1758,4035,70
U0000399,VZ000314,2024-01,23.84,1662,2793,70
U0000400,VZ000375,2024-01,13.84,1726,3647,70
U0000401,VZ000010,2024-01,26.3,827,3765,70
U0000402,VZ000433,2024-01,32.46,1116,2569,40
U0000403,VZ000105,2024-01,15.72,569,1005,40
U0000404,VZ000467,2024-01,3.14,1245,4020,45
U0000405,VZ000253,2024-01,4.01,1282,2506,40
U0000406,VZ000466,2024-01,6.49,1569,4756,70
U0000407,VZ000462,2024-01,21.15,1891,1971,45
U0000408,VZ000153,2024-01,16.14,1481,722,55
U0000409,VZ000100,2024-01,42.22,682,519,55
U0000410,VZ000093,2024-01,6.94,686,1243,40
U0000411,VZ000097,2024-01,58.84,1046,4297,40
U0000412,VZ000146,2024-01,46.07,1468,4105,40
U0000413,VZ000045,2024-01,41.49,238,4580,45
U0000414,VZ000195,2024-01,25.53,926,2162,40
U0000415,VZ000322,2024-01,27.78,1656,1654,55
U0000416,VZ000161,2024-01,15.94,1882,4372,40
U0000417,VZ000248,2024-01,54.82,1429,4194,40
U0000418,VZ000269,2024-01,40.09,1587,1378,70
U0000419,VZ000235,2024-01,10.54,1634,1437,45
U0000420,VZ000366,2024-01,40.09,967,4546,70
U0000421,VZ000426,2024-01,25.06,1201,2514,70
U0000422,VZ000419,2024-01,10.97,1523,3627,40
U0000423,VZ000191,2024-01,7.98,1602,1620,55
U0000424,VZ000175,2024-01,58.54,917,3121,70
U0000425,VZ000051,2024-01,23.54,549,4859,55
U0000426,VZ000135,2024-01,26.35,1821,3186,40
U0000427,VZ000334,2024-01,1.69,844,3700,45
U0000428,VZ000067,2024-01,54.73,1207,2067,40
U0000429,VZ000179,2024-01,50.8,1573,2546,70
U0000430,VZ000039,2024-01,40.55,710,4747,70
U0000431,VZ000399,2024-01,36.28,852,802,45
U0000432,VZ000353,2024-01,39.17,1273,4649,55
U0000433,VZ000041,2024-01,54.98,816,1001,55
U0000434,VZ000473,2024-01,51.37,781,2469,55
U0000435,VZ000123,2024-01,47.54,1670,3389,70
U0000436,VZ000189,2024-01,13.92,440,4566,55
U0000437,VZ000271,2024-01,53.77,483,3415,40
U0000438,VZ000078,2024-01,2.69,1733,1639,55
U0000439,VZ000127,2024-01,3.59,478,3642,45
U0000440,VZ000319,2024-01,10.89,1770,3745,40
U0000441,VZ000147,2024-01,34.15,200,4597,70
U0000442,VZ000449,2024-01,5.96,527,2855,45
U0000443,VZ000046,2024-01,36.03,145,1519,40
U0000444,VZ000356,2024-01,10.27,963,665,70
U0000445,VZ000276,2024-01,11.19,198,3751,40
U0000446,VZ000447,2024-01,56.73,264,2664,40
U0000447,VZ000283,2024-01,31.55,1527,3978,55
U0000448,VZ000132,2024-01,45.18,864,4891,40
U0000449,VZ000136,2024-01,34.08,137,3767,45
U0000450,VZ000421,2024-01,58.31,1268,531,40
U0000451,VZ000306,2024-01,6.03,1466,3021,55
U0000452,VZ000258,2024-01,49.41,1994,4983,40
U0000453,VZ000125,2024-01,21.35,1160,4108,45
U0000454,VZ000068,2024-01,44.17,1567,2795,40
U0000455,VZ000295,2024-01,56.02,1710,3052,55
U0000456,VZ000133,2024-01,20.9,1132,797,45
U0000457,VZ000017,2024-01,46.0,1109,2055,70
U0000458,VZ000427,2024-01,14.67,548,1426,55
U0000459,VZ000354,2024-01,39.92,162,1128,45
U0000460,VZ000231,2024-01,55.56,193,1497,70
U0000461,VZ000431,2024-01,42.38,1730,3257,40
U0000462,VZ000373,2024-01,2.78,351,3153,45
U0000463,VZ000273,2024-01,30.26,1007,3862,70
U0000464,VZ000474,2024-01,18.3,363,1964,70
U0000465,VZ000374,2024-01,29.31,1602,2122,70
U0000466,VZ000484,2024-01,34.57,563,1796,40
U0000467,VZ000157,2024-01,7.67,702,1209,45
U0000468,VZ000238,2024-01,25.1,380,2389,45
U0000469,VZ000372,2024-01,3.27,1255,3345,70
U0000470,VZ000199,2024-01,27.1,1756,1893,45
U0000471,VZ000255,2024-01,21.65,906,2586,55
U0000472,VZ000166,2024-01,54.41,961,662,55
U0000473,VZ000335,2024-01,21.75,726,755,40
U0000474,VZ000243,2024-01,7.79,1186,2495,45
U0000475,VZ000059,2024-01,50.3,653,2624,55
U0000476,VZ000212,2024-01,24.59,314,1178,40
U0000477,VZ000256,2024-01,5.63,1086,4380,70
U0000478,VZ000114,2024-01,12.22,663,1761,40
U0000479,VZ000160,2024-01,37.92,1574,1300,40
U0000480,VZ000183,2024-01,34.49,1206,2162,70
U0000481,VZ000182,2024-01,20.43,1041,2171,40
U0000482,VZ000025,2024-01,50.79,1584,3266,55
U0000483,VZ000291,2024-01,2.35,910,4264,55
U0000484,VZ000214,2024-01,26.77,1129,4301,40
U0000485,VZ000003,2024-01,48.51,1192,1468,40
U0000486,VZ000203,2024-01,29.65,765,648,55
U0000487,VZ000270,2024-01,4.19,613,3839,40
U0000488,VZ000177,2024-01,14.06,1136,1090,45
U0000489,VZ000031,2024-01,51.47,1173,4937,55
U0000490,VZ000215,2024-01,40.42,456,1192,55
U0000491,VZ000298,2024-01,18.39,431,1312,55
U0000492,VZ000435,2024-01,8.39,1894,1377,45
U0000493,VZ000116,2024-01,54.67,653,4729,45
U0000494,VZ000330,2024-01,55.38,1386,3836,70
U0000495,VZ000008,2024-01,12.44,767,2021,70
U0000496,VZ000325,2024-01,18.7,622,2038,70
U0000497,VZ000081,2024-01,21.1,776,2980,45
U0000498,VZ000441,2024-01,3.98,1709,4297,55
U0000499,VZ000485,2024-01,32.62,772,4760,45
U0000500,VZ000260,2024-01,17.5,1507,4849,55
U0000501,VZ000140,2024-01,29.11,882,1553,45
U0000502,VZ000096,2024-01,14.53,1233,2338,70
U0000503,VZ000121,2024-01,40.63,884,1169,45
U0000504,VZ000412,2024-01,29.0,1664,2148,40
U0000505,VZ000297,2024-01,16.09,456,3858,70
U0000506,VZ000344,2024-01,8.13,1247,1429,70
U0000507,VZ000469,2024-01,34.2,998,1686,40
